"","user_id","screen_name","Tipo_organismo","database","url_path","Tipo_organismo_2","Interbloque","diputado_bloque","description","profile_image_url","name","followers_count","image"
"1","290789612","SantoroLeandro","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Diputado de la Ciudad Autónoma de Buenos Aires. @FrenteDeTodos","http://pbs.twimg.com/profile_images/1430179894990974986/UCTfkFMm_400x400.jpg","Leandro Santoro","335236","<img src="" http://pbs.twimg.com/profile_images/1430179894990974986/UCTfkFMm_400x400.jpg "" height=""52""></img>"
"2","1613508258","lpokoik","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Precandidata a Diputada ciol por CABA por el @FrenteDeTodos. Legisladora Porteña. Secretaria de Cultura del @PjCiudad. Presidenta de la Mutual Homero Manzi.","http://pbs.twimg.com/profile_images/1424467090635956230/aGHppgOO_400x400.jpg","Lore Pokoik","26565","<img src="" http://pbs.twimg.com/profile_images/1424467090635956230/aGHppgOO_400x400.jpg "" height=""52""></img>"
"3","30049238","matiastombolini","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Papá de tres. Emorado de María. Economista y docente universitario. Vicepresidente del Banco de la ción Argenti.","http://pbs.twimg.com/profile_images/1380598574963113987/V2bqYOcd_400x400.jpg","Matias Tombolini","127823","<img src="" http://pbs.twimg.com/profile_images/1380598574963113987/V2bqYOcd_400x400.jpg "" height=""52""></img>"
"4","94488593","mariarachid","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Titular del Instituto contra la Discrimición de la Defensoría del Pueblo CABA. Diputada Porteña (MC). Integrante de la CD de la FALGBT.","http://pbs.twimg.com/profile_images/1422296814171131915/sSBolKrN_400x400.jpg","María Rachid","23367","<img src="" http://pbs.twimg.com/profile_images/1422296814171131915/sSBolKrN_400x400.jpg "" height=""52""></img>"
"5","143025162","VictorColombano","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Secretario Administrativo de @ALAFlatino; Peronista CABA; Dirigente NEP, Porteño del barrio de Flores. #vamosArgenti, Espacio Cultural Fermín","http://pbs.twimg.com/profile_images/1272310176541007872/nESfsEOn_400x400.jpg","Víctor Colombano","2959","<img src="" http://pbs.twimg.com/profile_images/1272310176541007872/nESfsEOn_400x400.jpg "" height=""52""></img>"
"6","1221597890","marcheorlando","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"El derecho de los trabajadores y los humildes, u bandera que nunca se ha de arriar, u lucha que nunca ha de cesar un objetivo que vamos a lograr.","http://pbs.twimg.com/profile_images/1425853687021383680/SO5q8tv6_400x400.jpg","Marcelo Hector Orlando","133","<img src="" http://pbs.twimg.com/profile_images/1425853687021383680/SO5q8tv6_400x400.jpg "" height=""52""></img>"
"7","244356927","vtolosapaz","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Precandidata a Diputada ciol por la Provincia de Buenos Aires por el @FrenteDeTodos.
Consejera ciol del @p_justicialista. 
Contadora Publica ciol.","http://pbs.twimg.com/profile_images/1386802426443964421/7eevCylN_400x400.jpg","Victoria Tolosa Paz","113244","<img src="" http://pbs.twimg.com/profile_images/1386802426443964421/7eevCylN_400x400.jpg "" height=""52""></img>"
"8","784230953350795264","passomarcela","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Contadora Pública (UNLP).
Precandidata a Diputada ciol por la Provincia de Buenos Aires @frentedetodos","http://pbs.twimg.com/profile_images/1421182992844787717/QiI06pII_400x400.jpg","Marcela Passo","13844","<img src="" http://pbs.twimg.com/profile_images/1421182992844787717/QiI06pII_400x400.jpg "" height=""52""></img>"
"9","824372021853306889","SergioOPalazzo","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Secretario General de la Asociación Bancaria Cuenta Oficial. Pre Candidato a Diputado ciol por el Frente de Todos <U+2600><U+FE0F>","http://pbs.twimg.com/profile_images/1400433479335153672/q8sH1mwx_400x400.jpg","Sergio Omar Palazzo","40826","<img src="" http://pbs.twimg.com/profile_images/1400433479335153672/q8sH1mwx_400x400.jpg "" height=""52""></img>"
"10","3433085776","aguspropatoarg","CANDIDATXS","CAND_FDT_db","mongodb+srv://new_user:password_new_123@cluster0.coceb.mongodb.net/test","CANDIDATXS",NA,NA,"Abogada. Sedora por la Pcia de Bs As. Ex Subsec. de Particip. Ciudada Ministerio de Seguridad. Militante peronista.","http://pbs.twimg.com/profile_images/1147260217052278790/Bxb_Utne_400x400.png","Agusti Propato","2332","<img src="" http://pbs.twimg.com/profile_images/1147260217052278790/Bxb_Utne_400x400.png "" height=""52""></img>"
